"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-05-04";26;"Brandenburg";12
"2020-05-05";28;"Brandenburg";12
"2020-05-06";43;"Brandenburg";12
"2020-05-07";34;"Brandenburg";12
"2020-05-08";33;"Brandenburg";12
"2020-05-09";27;"Brandenburg";12
"2020-05-10";26;"Brandenburg";12
"2020-05-11";28;"Brandenburg";12
"2020-05-12";27;"Brandenburg";12
"2020-05-13";26;"Brandenburg";12
"2020-05-14";23;"Brandenburg";12
"2020-05-15";22;"Brandenburg";12
"2020-05-16";19;"Brandenburg";12
"2020-05-17";21;"Brandenburg";12
"2020-05-18";23;"Brandenburg";12
"2020-05-19";21;"Brandenburg";12
"2020-05-20";21;"Brandenburg";12
"2020-05-21";17;"Brandenburg";12
"2020-05-22";17;"Brandenburg";12
"2020-05-23";18;"Brandenburg";12
"2020-05-24";19;"Brandenburg";12
"2020-05-25";20;"Brandenburg";12
"2020-05-26";24;"Brandenburg";12
"2020-05-27";19;"Brandenburg";12
"2020-05-28";18;"Brandenburg";12
"2020-05-29";18;"Brandenburg";12
"2020-05-30";15;"Brandenburg";12
"2020-05-31";15;"Brandenburg";12
"2020-06-01";15;"Brandenburg";12
"2020-06-02";17;"Brandenburg";12
"2020-06-03";17;"Brandenburg";12
"2020-06-04";18;"Brandenburg";12
"2020-06-05";17;"Brandenburg";12
"2020-06-06";13;"Brandenburg";12
"2020-06-07";14;"Brandenburg";12
"2020-06-08";15;"Brandenburg";12
"2020-06-09";16;"Brandenburg";12
"2020-06-10";17;"Brandenburg";12
"2020-06-11";16;"Brandenburg";12
"2020-06-12";18;"Brandenburg";12
"2020-06-13";14;"Brandenburg";12
"2020-06-14";13;"Brandenburg";12
"2020-06-15";17;"Brandenburg";12
"2020-06-16";25;"Brandenburg";12
"2020-03-01";17;"Berlin";11
"2020-03-02";32;"Berlin";11
"2020-03-03";31;"Berlin";11
"2020-03-04";26;"Berlin";11
"2020-03-05";27;"Berlin";11
"2020-03-06";25;"Berlin";11
"2020-03-07";16;"Berlin";11
"2020-03-08";24;"Berlin";11
"2020-03-09";27;"Berlin";11
"2020-03-10";36;"Berlin";11
"2020-03-11";52;"Berlin";11
"2020-03-12";76;"Berlin";11
"2020-03-13";100;"Berlin";11
"2020-03-14";95;"Berlin";11
"2020-03-15";100;"Berlin";11
"2020-03-16";92;"Berlin";11
"2020-03-17";90;"Berlin";11
"2020-03-18";80;"Berlin";11
"2020-03-19";78;"Berlin";11
"2020-03-20";78;"Berlin";11
"2020-03-21";76;"Berlin";11
"2020-03-22";82;"Berlin";11
"2020-03-23";64;"Berlin";11
"2020-03-24";59;"Berlin";11
